These are the feature importances generated by XGBoost for each product


Feature importance for ind_cco_fin_ult1 

"Feature" "Gain" "Cover" "Frequence"
"1" "ind_cno_fin_ult1_purchase.count" 0.544932480697137 0.109770563564774 0.00959956116291827
"2" "ind_cco_fin_ult1_1month_ago" 0.135640008686199 0.0304124375343414 0.028250137136588
"3" "ind_nom_pens_ult1_1month_ago" 0.0350121567005659 0.0316468867584017 0.00425123422929238
"4" "num.transactions" 0.0323482124965805 0.091719485770053 0.0565002742731761
"5" "antiguedad" 0.0263354208442155 0.0833167358793443 0.0863960504662644
"6" "age" 0.0254520487141129 0.0854474734247334 0.0977783872737246
"7" "ind_nom_pens_ult1_purchase.count" 0.0202682178294135 0.0509873918299426 0.0134393856280856
"8" "num.purchases.1.months.ago" 0.0159561435512134 0.0311545601218114 0.026055951727921
"9" "ind_cco_fin_ult1_3month_ago" 0.0151222003102597 0.0353020626086382 0.0150850246845858
"10" "ind_cco_fin_ult1_2month_ago" 0.0136537787600321 0.0395335966084501 0.0189248491497532
"11" "total_products" 0.0123569848164268 0.0353183898108032 0.0467635765222161
"12" "ind_actividad_cliente" 0.00812374141360964 0.0322376839463677 0.0207076247942951
"13" "ind_cco_fin_ult1_4month_ago" 0.00791226701635486 0.035322670961801 0.0196105320899616
"14" "ind_recibo_ult1_1month_ago" 0.00760942967442085 0.0191315924420936 0.0230389467910038
"15" "ind_cco_fin_ult1_purchase.count" 0.00710599312960864 0.0259128579823008 0.0241360394953374
"16" "ind_cno_fin_ult1_3month_ago" 0.00437341639312596 0.0123416786719627 0.00644541963795941
"17" "num.purchases.4.months.ago" 0.00432854913726428 0.014056798068496 0.0261930883159627
"18" "ind_ctma_fin_ult1_purchase.count" 0.00426421980091637 0.0177521549496803 0.00274273176083379
"19" "ind_tjcr_fin_ult1_purchase.count" 0.00416502662488812 0.01188028540515 0.0134393856280856
"20" "renta" 0.00376057429375556 0.00622065767078941 0.0567745474492595
"21" "ind_ctma_fin_ult1_3month_ago" 0.00356708602038851 0.00321860215899301 0.00425123422929238
"22" "ind_recibo_ult1_purchase.count" 0.00334015235990461 0.0169527833550751 0.011930883159627
"23" "segmento.UNKNOWN" 0.00333832532548529 0.0238217650491289 0.00329127811300055
"24" "ind_ctma_fin_ult1_2month_ago" 0.00332206337093536 0.00618445997950172 0.00575973669775096
"25" "ind_ctju_fin_ult1_purchase.count" 0.00313178836726472 0.00784707794883264 0.00301700493691717
"26" "ind_cno_fin_ult1_2month_ago" 0.00304951211754292 0.00583886103211773 0.003976961053209
"27" "ind_cno_fin_ult1_4month_ago" 0.00297015930549844 0.00542840332175424 0.0100109709270433
"28" "ind_tjcr_fin_ult1_1month_ago" 0.00250363893078417 0.00711364606144387 0.0172792100932529
"29" "ind_nom_pens_ult1_4month_ago" 0.00245636543870376 0.000358908100425881 0.00150850246845858
"30" "ind_nom_pens_ult1_2month_ago" 0.00243402966960329 0.000856144805779367 0.00383982446516731
